Designator,Mid X,Mid Y,Layer,Rotation
C1,41.25,-90.025,top,-90
C2,51,-92.275,top,-90
C3,53.75,-91.98,top,-90
C4,54.5,-47.5,top,0
C5,53.75,-77,top,0
C6,42.25,-83.5,top,90
C7,35.75,-100.73,top,-90
C8,80.25,-73,top,0
C9,81.28,-69.5,top,-90
C10,78.74,-69.525,top,-90
D1,37.4,-89.25,top,180
D2,42.25,-96.5,top,180
D3,32.75,-55.9375,top,-90
D4,30,-75,top,0
D5,43.2,-43.1,top,0
D6,74.95,-30.15,top,0
D7,106.7,-43.15,top,0
D8,119.95,-74.9,top,0
D9,106.8,-106.85,top,0
D10,75,-120,top,0
D11,43.3,-106.85,top,0
IC1,50,-59.115,top,-90
IC2,75.022,-74.772,top,-90
J1,32.5,-99.5,top,-90
J3,27.6,-86,top,90
Q1,33.6875,-92.95,top,0
Q2,51.75,-73.66,top,0
R1,32.75,-88,top,90
R2,44.26,-89,top,0
R3,62.01,-98.5,top,180
R4,48.75,-74.25,top,90
R5,55.75,-73.25,top,-90
R6,35.01,-103.25,top,180
R7,38.25,-102.59,top,-90
R8,38.5,-96.75,top,-90
R9,46.25,-99.26,top,-90
R10,32.76,-58.5,top,180
R11,67.25,-74.25,top,90
R12,70,-74.25,top,90
R13,35.9,-73.3,top,180
S1,58.2,-100.55,top,-90
U1,46.8875,-92.45,top,0
U2,37.25,-84.1875,top,0
U3,42.6375,-99.7,top,0
